date,full_name,stars,forks,open_issues,created_at,pushed_at,top_contributors
2026-08-30,MadsLorentzen/ai-job-search,38196,12957,9,2026-03-18T14:33:04Z,2026-08-29T09:20:06Z,MadsLorentzen;ayobamiseun;oscarbol09;LeoWinston-9596;erikpr1994
2026-08-30,rohitg00/ai-engineering-from-scratch,51060,8839,100,2026-03-18T18:38:02Z,2026-08-30T03:06:51Z,rohitg00;abhinav-m22;thereisnotime;thejesh23;ismet
2026-08-30,vercel/next.js,142015,31818,3638,2016-10-05T23:32:51Z,2026-08-30T01:49:36Z,ijjk;timneutkens;sokra;vercel-release-bot;huozhi
2026-08-30,walkinglabs/learn-harness-engineering,14509,1437,9,2026-03-29T12:28:19Z,2026-08-26T01:08:59Z,sanbuphy;jpcmf;jim60105;luojiyin1987;ozzgurr
2026-08-30,blader/humanizer,38849,3400,22,2026-01-18T05:30:15Z,2026-08-19T05:58:53Z,blader;mvanhorn;MackDing;marcoenricovd-lang;Kutomore
2026-08-30,kubernetes/kubernetes,125571,43947,2991,2014-06-06T22:56:04Z,2026-08-28T22:04:04Z,k8s-ci-robot;liggitt;thockin;wojtek-t;brendandburns
2026-08-30,abi/screenshot-to-code,76139,9272,131,2023-11-14T17:53:32Z,2026-08-14T17:20:50Z,abi;claude;clean99;kachbit;justindhillon
2026-08-30,ZzzLc0405/photo-abstract-editorial,5081,320,11,2026-08-04T09:35:31Z,2026-08-19T03:31:31Z,ZzzLc0405
2026-08-30,volcengine/OpenViking,34352,2620,584,2026-01-05T07:11:17Z,2026-08-30T06:31:10Z,qin-ctx;ZaynJarvis;zhoujh01;r266-tech;MaojiaSheng
2026-08-30,agentscope-ai/QwenPaw,34673,3045,895,2026-02-24T03:42:56Z,2026-08-28T17:50:20Z,rayrayraykk;zhaozhuang521;zhijianma;hongxicheng;xieyxclack
2026-08-30,pathwaycom/arc-task-gen,8860,58,1,2026-08-04T12:59:02Z,2026-08-11T09:52:10Z,ludovicPathway
2026-08-30,block/buzz,31468,4027,3235,2026-03-06T21:00:56Z,2026-08-30T01:03:46Z,wesbillman;wpfleger96;tlongwell-block;klopez4212;tellaho
2026-08-30,HKUDS/DeepTutor,37868,4747,127,2025-12-28T15:35:54Z,2026-08-30T05:20:00Z,pancacake;Pinkllow;tusharkhatriofficial;scrrlt;wedone
2026-08-30,blader/humanizer,38855,3401,22,2026-01-18T05:30:15Z,2026-08-19T05:58:53Z,blader;mvanhorn;MackDing;marcoenricovd-lang;Kutomore
2026-08-30,rohitg00/ai-engineering-from-scratch,51073,8839,100,2026-03-18T18:38:02Z,2026-08-30T03:06:51Z,rohitg00;abhinav-m22;thereisnotime;thejesh23;ismet
2026-08-30,cactus-compute/needle,9697,626,31,2026-02-24T04:50:47Z,2026-08-29T16:01:58Z,HenryNdubuaku;ncylich;kar-m;LeonSGP43;justinl66
2026-08-30,HKUDS/Vibe-Trading,32078,5235,22,2026-04-01T09:52:20Z,2026-08-29T04:59:38Z,warren618;santhreal;shadowinlife;xkam7ar;wiliao
2026-08-30,spring-projects/spring-boot,81378,42080,496,2012-10-19T15:02:57Z,2026-08-29T05:27:52Z,wilkinsona;snicoll;philwebb;mhalbritter;mbhave
